c CS 4.6
c Commercial use requires a licence
c contact igsys@eclipse.net
c
c nodes:             405     arcs:             1603
f       1     332          1
f       1      68          1
f       1     334          1
f       1      69          1
f       1      70          1
f       1     338          1
f       1      71          1
f       1     340          1
f       1      72          1
f       1     342          1
f       1      73          1
f       1     344          1
f       1      74          1
f       1     346          1
f       1      75          1
f       1     348          1
f       1      76          1
f       1     350          1
f       1      77          1
f       1     352          1
f       1      78          1
f       1     354          1
f       1      79          1
f       1     356          1
f       1      80          1
f       1      81          1
f       1     360          1
f       1      82          1
f       1      83          1
f       1     364          1
f       1      84          1
f       1      85          1
f       1     368          1
f       1      86          1
f       1     370          1
f       1      87          1
f       1     372          1
f       1      88          1
f       1     374          1
f       1      89          1
f       1      90          1
f       1     378          1
f       1      91          1
f       1     380          1
f       1      92          1
f       1     382          1
f       1      93          1
f       1      94          1
f       1     386          1
f       1      95          1
f       1     388          1
f       1      96          1
f       1     390          1
f       1      97          1
f       1     392          1
f       1      98          1
f       1     394          1
f       1      99          1
f       1     396          1
f       1     100          1
f       1     398          1
f       1     101          1
f       1     400          1
f       1     102          1
f       1     279          1
f       1     103          1
f       1     203          1
f       1     104          1
f       1     275          1
f       1     105          1
f       1     207          1
f       1     106          1
f       1     295          1
f       1     107          1
f       1     251          1
f       1     108          1
f       1     315          1
f       1     109          1
f       1     211          1
f       1     110          1
f       1     231          1
f       1     111          1
f       1     337          1
f       1     112          1
f       1     215          1
f       1     113          1
f       1     217          1
f       1     114          1
f       1     277          1
f       1     115          1
f       1     116          1
f       1     359          1
f       1     117          1
f       1     223          1
f       1     118          1
f       1     119          1
f       1     221          1
f       1     120          1
f       1     267          1
f       1     121          1
f       1     122          1
f       1     341          1
f       1     123          1
f       1     124          1
f       1     247          1
f       1     125          1
f       1     281          1
f       1     126          1
f       1     343          1
f       1     127          1
f       1     128          1
f       1     283          1
f       1     129          1
f       1     239          1
f       1     130          1
f       1     363          1
f       1     131          1
f       1     263          1
f       1     132          1
f       1     345          1
f       1     133          1
f       1     243          1
f       1     134          1
f       1     229          1
f       1     135          1
f       1     136          1
f       1     225          1
f       1     137          1
f       1     138          1
f       1     287          1
f       1     139          1
f       1     367          1
f       1     140          1
f       1     349          1
f       1     141          1
f       1     285          1
f       1     142          1
f       1     255          1
f       1     143          1
f       1     233          1
f       1     144          1
f       1     145          1
f       1     259          1
f       1     146          1
f       1     371          1
f       1     353          1
f       1     148          1
f       1     289          1
f       1     149          1
f       1     291          1
f       1     150          1
f       1     355          1
f       1     151          1
f       1     375          1
f       1     152          1
f       1     379          1
f       1     153          1
f       1     154          1
f       1     357          1
f       1     155          1
f       1     237          1
f       1     156          1
f       1     311          1
f       1     157          1
f       1     293          1
f       1     158          1
f       1     361          1
f       1     159          1
f       1     160          1
f       1     161          1
f       1     365          1
f       1     162          1
f       1     297          1
f       1     163          1
f       1     303          1
f       1     164          1
f       1     391          1
f       1     165          1
f       1     369          1
f       1     166          1
f       1     307          1
f       1     167          1
f       1     387          1
f       1     168          1
f       1     301          1
f       1     373          1
f       1     170          1
f       1     327          1
f       1     172          1
f       1     249          1
f       1     377          1
f       1     174          1
f       1     305          1
f       1     175          1
f       1     395          1
f       1     381          1
f       1     177          1
f       1     399          1
f       1     178          1
f       1     319          1
f       1     179          1
f       1     309          1
f       1     180          1
f       1     385          1
f       1     181          1
f       1     253          1
f       1     182          1
f       1     389          1
f       1     183          1
f       1     313          1
f       1     184          1
f       1     323          1
f       1     185          1
f       1     257          1
f       1     186          1
f       1     209          1
f       1     187          1
f       1     205          1
f       1     188          1
f       1     317          1
f       1     189          1
f       1     393          1
f       1     190          1
f       1     321          1
f       1     191          1
f       1     397          1
f       1     192          1
f       1     261          1
f       1     193          1
f       1     401          1
f       1     194          1
f       1     325          1
f       1     195          1
f       1     335          1
f       1     196          1
f       1     329          1
f       1     197          1
f       1     265          1
f       1     198          1
f       1     273          1
f       1     199          1
f       1     213          1
f       1     200          1
f       1     201          1
f       1     269          1
f       1      47          1
f       1      31          1
f       1     366          1
f       1     147          1
f       1     339          1
f       1       4          1
f       1      59          1
f       1     294          1
f       1      24          1
f       1     202          1
f       1     227          1
f       1     347          1
f       1      10          1
f       1     169          1
f       1     336          1
f       1     320          1
f       1     245          1
f       1     171          1
f       1     331          1
f       1     271          1
f       1     299          1
f       1     173          1
f       1      62          1
f       1     376          1
f       1      21          1
f       1      34          1
f       1     358          1
f       1     176          1
f       1     324          1
f       1     266          1
f       1     235          1
f       1     326          1
f       1     362          1
f       1     383          1
f       1     219          1
f       1     241          1
f       1     384          1
f       1     333          1
f       1     351          1
f       1      57          1
f       2     402          0
f       2     403          0
f       2     404          1
f       3     404          0
f       3     403          0
f       3     402          1
f       4     404          0
f       4     402          1
f       4     403          0
f       5     404          0
f       5     402          1
f       5     403          0
f       6     402          0
f       6     403          0
f       6     404          1
f       7     403          0
f       7     404          0
f       7     402          1
f       8     402          0
f       8     403          0
f       8     404          1
f       9     403          0
f       9     404          0
f       9     402          1
f      10     404          0
f      10     402          1
f      10     403          0
f      11     403          0
f      11     404          0
f      11     402          1
f      12     404          0
f      12     402          0
f      12     403          1
f      13     403          1
f      13     402          0
f      13     404          0
f      14     402          0
f      14     404          1
f      14     403          0
f      15     403          0
f      15     402          0
f      15     404          1
f      16     404          0
f      16     402          1
f      16     403          0
f      17     402          0
f      17     403          0
f      17     404          1
f      18     402          0
f      18     403          0
f      18     404          1
f      19     403          0
f      19     402          0
f      19     404          1
f      20     402          0
f      20     404          1
f      20     403          0
f      21     404          0
f      21     403          0
f      21     402          1
f      22     402          0
f      22     403          0
f      22     404          1
f      23     404          0
f      23     403          0
f      23     402          1
f      24     402          0
f      24     404          1
f      24     403          0
f      25     403          0
f      25     404          0
f      25     402          1
f      26     402          0
f      26     404          1
f      26     403          0
f      27     404          0
f      27     402          0
f      27     403          1
f      28     402          0
f      28     403          0
f      28     404          1
f      29     404          0
f      29     402          1
f      29     403          0
f      30     404          0
f      30     403          0
f      30     402          1
f      31     402          0
f      31     403          0
f      31     404          1
f      32     404          0
f      32     403          0
f      32     402          1
f      33     402          0
f      33     403          0
f      33     404          1
f      34     402          0
f      34     404          1
f      34     403          0
f      35     402          0
f      35     404          1
f      35     403          0
f      36     404          0
f      36     402          0
f      36     403          1
f      37     403          0
f      37     402          0
f      37     404          1
f      38     402          0
f      38     404          0
f      38     403          1
f      39     403          1
f      39     404          0
f      39     402          0
f      40     402          0
f      40     403          0
f      40     404          1
f      41     402          0
f      41     403          0
f      41     404          1
f      42     402          0
f      42     404          1
f      42     403          0
f      43     403          0
f      43     402          0
f      43     404          1
f      44     402          0
f      44     404          1
f      44     403          0
f      45     403          1
f      45     402          0
f      45     404          0
f      46     402          0
f      46     403          0
f      46     404          1
f      47     404          0
f      47     403          0
f      47     402          1
f      48     404          0
f      48     403          0
f      48     402          1
f      49     403          1
f      49     402          0
f      49     404          0
f      50     404          0
f      50     402          0
f      50     403          1
f      51     403          1
f      51     402          0
f      51     404          0
f      52     404          0
f      52     402          1
f      52     403          0
f      53     403          0
f      53     402          0
f      53     404          1
f      54     402          0
f      54     403          0
f      54     404          1
f      55     403          0
f      55     404          0
f      55     402          1
f      56     402          0
f      56     404          0
f      56     403          1
f      57     402          0
f      57     403          0
f      57     404          1
f      58     402          0
f      58     403          0
f      58     404          1
f      59     402          0
f      59     403          0
f      59     404          1
f      60     404          0
f      60     402          1
f      60     403          0
f      61     402          0
f      61     404          0
f      61     403          1
f      62     402          1
f      62     404          0
f      62     403          0
f      63     403          0
f      63     402          0
f      63     404          1
f      64     404          0
f      64     402          0
f      64     403          1
f      65     404          0
f      65     402          1
f      65     403          0
f      66     404          0
f      66     402          0
f      66     403          1
f      67     402          0
f      67     404          1
f      67     403          0
f      68     404          0
f      68     402          0
f      68     403          1
f      69     402          0
f      69     403          0
f      69     404          1
f      70     402          0
f      70     403          1
f      70     404          0
f      71     404          0
f      71     402          0
f      71     403          1
f      72     404          0
f      72     403          0
f      72     402          1
f      73     403          0
f      73     404          0
f      73     402          1
f      74     402          0
f      74     404          0
f      74     403          1
f      75     403          0
f      75     402          0
f      75     404          1
f      76     404          0
f      76     403          0
f      76     402          1
f      77     402          0
f      77     403          0
f      77     404          1
f      78     402          0
f      78     403          0
f      78     404          1
f      79     402          0
f      79     403          0
f      79     404          1
f      80     402          0
f      80     403          0
f      80     404          1
f      81     403          1
f      81     402          0
f      81     404          0
f      82     402          0
f      82     403          0
f      82     404          1
f      83     402          0
f      83     404          0
f      83     403          1
f      84     404          0
f      84     402          0
f      84     403          1
f      85     402          0
f      85     404          0
f      85     403          1
f      86     404          0
f      86     402          1
f      86     403          0
f      87     404          0
f      87     402          1
f      87     403          0
f      88     402          0
f      88     403          0
f      88     404          1
f      89     403          0
f      89     404          0
f      89     402          1
f      90     404          0
f      90     402          1
f      90     403          0
f      91     404          0
f      91     402          1
f      91     403          0
f      92     402          0
f      92     403          0
f      92     404          1
f      93     403          0
f      93     404          0
f      93     402          1
f      94     402          0
f      94     404          0
f      94     403          1
f      95     403          0
f      95     402          0
f      95     404          1
f      96     404          0
f      96     402          0
f      96     403          1
f      97     402          0
f      97     404          0
f      97     403          1
f      98     402          0
f      98     404          0
f      98     403          1
f      99     402          0
f      99     403          0
f      99     404          1
f     100     404          0
f     100     402          0
f     100     403          1
f     101     403          0
f     101     404          0
f     101     402          1
f     102     402          0
f     102     404          0
f     102     403          1
f     103     402          0
f     103     403          0
f     103     404          1
f     104     404          0
f     104     402          0
f     104     403          1
f     105     403          0
f     105     404          0
f     105     402          1
f     106     404          0
f     106     403          0
f     106     402          1
f     107     402          0
f     107     403          0
f     107     404          1
f     108     404          0
f     108     402          0
f     108     403          1
f     109     403          0
f     109     404          0
f     109     402          1
f     110     402          0
f     110     404          0
f     110     403          1
f     111     402          0
f     111     404          0
f     111     403          1
f     112     404          0
f     112     403          0
f     112     402          1
f     113     404          0
f     113     402          0
f     113     403          1
f     114     402          0
f     114     403          1
f     114     404          0
f     115     403          0
f     115     404          0
f     115     402          1
f     116     404          0
f     116     403          0
f     116     402          1
f     117     403          0
f     117     404          0
f     117     402          1
f     118     402          0
f     118     404          0
f     118     403          1
f     119     404          0
f     119     402          1
f     119     403          0
f     120     402          0
f     120     404          0
f     120     403          1
f     121     404          0
f     121     402          1
f     121     403          0
f     122     404          0
f     122     403          0
f     122     402          1
f     123     403          0
f     123     402          0
f     123     404          1
f     124     402          0
f     124     404          1
f     124     403          0
f     125     402          0
f     125     404          0
f     125     403          1
f     126     402          0
f     126     404          0
f     126     403          1
f     127     403          1
f     127     402          0
f     127     404          0
f     128     402          0
f     128     403          0
f     128     404          1
f     129     403          0
f     129     402          0
f     129     404          1
f     130     402          0
f     130     404          0
f     130     403          1
f     131     404          0
f     131     402          1
f     131     403          0
f     132     402          0
f     132     403          0
f     132     404          1
f     133     403          0
f     133     402          0
f     133     404          1
f     134     402          0
f     134     404          0
f     134     403          1
f     135     403          0
f     135     404          0
f     135     402          1
f     136     402          0
f     136     403          0
f     136     404          1
f     137     403          0
f     137     402          0
f     137     404          1
f     138     402          0
f     138     404          0
f     138     403          1
f     139     403          0
f     139     402          0
f     139     404          1
f     140     404          0
f     140     402          1
f     140     403          0
f     141     403          1
f     141     402          0
f     141     404          0
f     142     404          0
f     142     402          1
f     142     403          0
f     143     403          0
f     143     402          0
f     143     404          1
f     144     402          0
f     144     404          1
f     144     403          0
f     145     402          0
f     145     403          0
f     145     404          1
f     146     404          0
f     146     402          1
f     146     403          0
f     147     403          0
f     147     402          1
f     147     404          0
f     148     402          0
f     148     403          0
f     148     404          1
f     149     403          0
f     149     402          0
f     149     404          1
f     150     402          1
f     150     404          0
f     150     403          0
f     151     403          0
f     151     404          0
f     151     402          1
f     152     404          0
f     152     402          1
f     152     403          0
f     153     404          0
f     153     402          1
f     153     403          0
f     154     404          0
f     154     403          0
f     154     402          1
f     155     402          0
f     155     403          1
f     155     404          0
f     156     404          0
f     156     402          0
f     156     403          1
f     157     404          0
f     157     402          1
f     157     403          0
f     158     402          0
f     158     403          0
f     158     404          1
f     159     402          0
f     159     404          0
f     159     403          1
f     160     404          0
f     160     403          0
f     160     402          1
f     161     402          0
f     161     404          1
f     161     403          0
f     162     402          0
f     162     403          0
f     162     404          1
f     163     404          0
f     163     403          0
f     163     402          1
f     164     404          0
f     164     403          0
f     164     402          1
f     165     402          0
f     165     404          0
f     165     403          1
f     166     404          0
f     166     403          0
f     166     402          1
f     167     402          0
f     167     404          1
f     167     403          0
f     168     404          0
f     168     403          0
f     168     402          1
f     169     402          0
f     169     403          0
f     169     404          1
f     170     404          0
f     170     403          0
f     170     402          1
f     171     402          0
f     171     403          1
f     171     404          0
f     172     402          0
f     172     403          1
f     172     404          0
f     173     402          0
f     173     404          0
f     173     403          1
f     174     404          0
f     174     403          1
f     174     402          0
f     175     402          0
f     175     404          0
f     175     403          1
f     176     402          0
f     176     404          1
f     176     403          0
f     177     403          0
f     177     404          0
f     177     402          1
f     178     404          0
f     178     403          0
f     178     402          1
f     179     403          0
f     179     402          0
f     179     404          1
f     180     402          0
f     180     403          0
f     180     404          1
f     181     402          0
f     181     404          1
f     181     403          0
f     182     404          0
f     182     403          1
f     182     402          0
f     183     402          0
f     183     404          0
f     183     403          1
f     184     404          0
f     184     403          0
f     184     402          1
f     185     403          0
f     185     402          0
f     185     404          1
f     186     402          0
f     186     403          0
f     186     404          1
f     187     403          0
f     187     404          0
f     187     402          1
f     188     402          0
f     188     403          0
f     188     404          1
f     189     403          1
f     189     402          0
f     189     404          0
f     190     404          0
f     190     402          0
f     190     403          1
f     191     403          0
f     191     404          0
f     191     402          1
f     192     402          0
f     192     404          0
f     192     403          1
f     193     403          1
f     193     402          0
f     193     404          0
f     194     402          0
f     194     403          0
f     194     404          1
f     195     403          1
f     195     402          0
f     195     404          0
f     196     404          0
f     196     403          0
f     196     402          1
f     197     403          1
f     197     402          0
f     197     404          0
f     198     404          0
f     198     403          0
f     198     402          1
f     199     403          1
f     199     402          0
f     199     404          0
f     200     402          0
f     200     403          0
f     200     404          1
f     201     403          0
f     201     404          0
f     201     402          1
f     202     402          0
f     202     403          0
f     202     404          1
f     203     403          1
f     203     404          0
f     203     402          0
f     204     402          0
f     204     403          0
f     204     404          1
f     205     402          0
f     205     404          0
f     205     403          1
f     206     402          0
f     206     403          0
f     206     404          1
f     207     403          1
f     207     404          0
f     207     402          0
f     208     403          0
f     208     404          0
f     208     402          1
f     209     403          1
f     209     404          0
f     209     402          0
f     210     402          0
f     210     403          1
f     210     404          0
f     211     402          0
f     211     403          0
f     211     404          1
f     212     402          0
f     212     404          0
f     212     403          1
f     213     402          0
f     213     403          0
f     213     404          1
f     214     404          0
f     214     403          0
f     214     402          1
f     215     403          1
f     215     404          0
f     215     402          0
f     216     402          0
f     216     403          0
f     216     404          1
f     217     403          1
f     217     404          0
f     217     402          0
f     218     402          0
f     218     403          1
f     218     404          0
f     219     402          0
f     219     404          0
f     219     403          1
f     220     402          0
f     220     403          1
f     220     404          0
f     221     402          0
f     221     403          0
f     221     404          1
f     222     402          0
f     222     403          1
f     222     404          0
f     223     402          0
f     223     403          0
f     223     404          1
f     224     402          0
f     224     404          0
f     224     403          1
f     225     403          0
f     225     404          0
f     225     402          1
f     226     402          0
f     226     403          1
f     226     404          0
f     227     402          0
f     227     404          0
f     227     403          1
f     228     402          0
f     228     403          0
f     228     404          1
f     229     404          0
f     229     403          0
f     229     402          1
f     230     402          0
f     230     403          0
f     230     404          1
f     231     402          0
f     231     403          1
f     231     404          0
f     232     402          0
f     232     403          1
f     232     404          0
f     233     402          0
f     233     403          1
f     233     404          0
f     234     402          0
f     234     404          0
f     234     403          1
f     235     404          0
f     235     402          0
f     235     403          1
f     236     402          0
f     236     403          0
f     236     404          1
f     237     403          0
f     237     404          0
f     237     402          1
f     238     402          0
f     238     403          0
f     238     404          1
f     239     402          0
f     239     403          1
f     239     404          0
f     240     403          0
f     240     404          0
f     240     402          1
f     241     402          0
f     241     403          0
f     241     404          1
f     242     404          0
f     242     403          1
f     242     402          0
f     243     404          0
f     243     403          1
f     243     402          0
f     244     402          0
f     244     403          0
f     244     404          1
f     245     402          1
f     245     403          0
f     245     404          0
f     246     402          0
f     246     404          0
f     246     403          1
f     247     402          0
f     247     403          0
f     247     404          1
f     248     402          0
f     248     403          0
f     248     404          1
f     249     402          0
f     249     403          1
f     249     404          0
f     250     403          0
f     250     404          0
f     250     402          1
f     251     403          0
f     251     404          0
f     251     402          1
f     252     402          0
f     252     403          1
f     252     404          0
f     253     402          0
f     253     403          0
f     253     404          1
f     254     402          0
f     254     403          1
f     254     404          0
f     255     402          0
f     255     403          1
f     255     404          0
f     256     402          0
f     256     403          0
f     256     404          1
f     257     402          0
f     257     403          0
f     257     404          1
f     258     404          0
f     258     403          0
f     258     402          1
f     259     402          0
f     259     403          0
f     259     404          1
f     260     402          0
f     260     403          0
f     260     404          1
f     261     402          0
f     261     403          1
f     261     404          0
f     262     404          0
f     262     403          0
f     262     402          1
f     263     403          0
f     263     404          0
f     263     402          1
f     264     402          0
f     264     403          0
f     264     404          1
f     265     403          0
f     265     404          0
f     265     402          1
f     266     404          0
f     266     402          1
f     266     403          0
f     267     404          0
f     267     403          1
f     267     402          0
f     268     402          0
f     268     403          0
f     268     404          1
f     269     402          0
f     269     404          1
f     269     403          0
f     270     402          0
f     270     403          1
f     270     404          0
f     271     404          0
f     271     403          0
f     271     402          1
f     272     403          1
f     272     404          0
f     272     402          0
f     273     404          0
f     273     402          1
f     273     403          0
f     274     403          0
f     274     404          0
f     274     402          1
f     275     403          1
f     275     404          0
f     275     402          0
f     276     402          0
f     276     404          0
f     276     403          1
f     277     403          0
f     277     404          1
f     277     402          0
f     278     402          0
f     278     403          1
f     278     404          0
f     279     403          0
f     279     404          0
f     279     402          1
f     280     402          0
f     280     403          0
f     280     404          1
f     281     402          0
f     281     403          0
f     281     404          1
f     282     402          0
f     282     403          0
f     282     404          1
f     283     402          0
f     283     403          0
f     283     404          1
f     284     404          0
f     284     403          0
f     284     402          1
f     285     402          0
f     285     403          1
f     285     404          0
f     286     402          0
f     286     403          1
f     286     404          0
f     287     403          0
f     287     404          0
f     287     402          1
f     288     404          0
f     288     403          0
f     288     402          1
f     289     402          0
f     289     404          0
f     289     403          1
f     290     402          0
f     290     404          0
f     290     403          1
f     291     402          0
f     291     403          0
f     291     404          1
f     292     402          0
f     292     404          0
f     292     403          1
f     293     403          0
f     293     404          0
f     293     402          1
f     294     402          0
f     294     403          1
f     294     404          0
f     295     404          0
f     295     403          0
f     295     402          1
f     296     403          0
f     296     404          0
f     296     402          1
f     297     404          0
f     297     403          0
f     297     402          1
f     298     402          0
f     298     403          0
f     298     404          1
f     299     402          0
f     299     403          1
f     299     404          0
f     300     403          0
f     300     404          0
f     300     402          1
f     301     403          0
f     301     404          0
f     301     402          1
f     302     403          0
f     302     404          0
f     302     402          1
f     303     403          0
f     303     404          0
f     303     402          1
f     304     404          0
f     304     403          0
f     304     402          1
f     305     403          0
f     305     404          0
f     305     402          1
f     306     402          0
f     306     403          0
f     306     404          1
f     307     402          0
f     307     403          0
f     307     404          1
f     308     402          0
f     308     403          1
f     308     404          0
f     309     402          0
f     309     403          0
f     309     404          1
f     310     402          0
f     310     403          1
f     310     404          0
f     311     404          0
f     311     403          0
f     311     402          1
f     312     402          0
f     312     403          0
f     312     404          1
f     313     402          0
f     313     403          0
f     313     404          1
f     314     402          0
f     314     403          0
f     314     404          1
f     315     404          0
f     315     403          1
f     315     402          0
f     316     402          0
f     316     403          0
f     316     404          1
f     317     402          0
f     317     403          1
f     317     404          0
f     318     402          0
f     318     403          1
f     318     404          0
f     319     403          0
f     319     404          0
f     319     402          1
f     320     404          0
f     320     402          1
f     320     403          0
f     321     403          0
f     321     404          0
f     321     402          1
f     322     402          0
f     322     404          0
f     322     403          1
f     323     402          0
f     323     403          0
f     323     404          1
f     324     402          0
f     324     403          0
f     324     404          1
f     325     402          0
f     325     403          1
f     325     404          0
f     326     402          0
f     326     403          0
f     326     404          1
f     327     402          0
f     327     403          1
f     327     404          0
f     328     402          0
f     328     403          0
f     328     404          1
f     329     402          0
f     329     403          0
f     329     404          1
f     330     402          0
f     330     403          1
f     330     404          0
f     331     404          0
f     331     402          1
f     331     403          0
f     332     402          0
f     332     403          1
f     332     404          0
f     333     404          0
f     333     402          1
f     333     403          0
f     334     403          0
f     334     404          0
f     334     402          1
f     335     404          0
f     335     402          1
f     335     403          0
f     336     402          0
f     336     403          0
f     336     404          1
f     337     402          0
f     337     403          1
f     337     404          0
f     338     402          0
f     338     403          0
f     338     404          1
f     339     402          0
f     339     403          0
f     339     404          1
f     340     404          0
f     340     403          0
f     340     402          1
f     341     402          0
f     341     403          1
f     341     404          0
f     342     404          0
f     342     403          0
f     342     402          1
f     343     403          0
f     343     404          0
f     343     402          1
f     344     403          0
f     344     404          0
f     344     402          1
f     345     402          0
f     345     403          0
f     345     404          1
f     346     403          0
f     346     404          0
f     346     402          1
f     347     402          0
f     347     403          0
f     347     404          1
f     348     402          0
f     348     404          0
f     348     403          1
f     349     404          0
f     349     403          0
f     349     402          1
f     350     403          0
f     350     404          0
f     350     402          1
f     351     402          0
f     351     403          1
f     351     404          0
f     352     402          0
f     352     403          1
f     352     404          0
f     353     404          0
f     353     403          0
f     353     402          1
f     354     402          0
f     354     403          0
f     354     404          1
f     355     402          0
f     355     403          1
f     355     404          0
f     356     402          0
f     356     403          1
f     356     404          0
f     357     402          0
f     357     403          1
f     357     404          0
f     358     404          0
f     358     402          1
f     358     403          0
f     359     402          0
f     359     403          0
f     359     404          1
f     360     402          0
f     360     403          1
f     360     404          0
f     361     403          0
f     361     404          0
f     361     402          1
f     362     404          0
f     362     402          1
f     362     403          0
f     363     402          0
f     363     403          0
f     363     404          1
f     364     402          0
f     364     403          0
f     364     404          1
f     365     402          0
f     365     403          0
f     365     404          1
f     366     404          0
f     366     402          1
f     366     403          0
f     367     403          0
f     367     404          0
f     367     402          1
f     368     402          0
f     368     403          0
f     368     404          1
f     369     402          0
f     369     403          0
f     369     404          1
f     370     402          0
f     370     403          0
f     370     404          1
f     371     402          0
f     371     403          0
f     371     404          1
f     372     404          0
f     372     403          0
f     372     402          1
f     373     403          0
f     373     404          0
f     373     402          1
f     374     403          0
f     374     404          0
f     374     402          1
f     375     402          0
f     375     403          1
f     375     404          0
f     376     402          0
f     376     403          0
f     376     404          1
f     377     404          0
f     377     403          0
f     377     402          1
f     378     402          0
f     378     403          1
f     378     404          0
f     379     402          0
f     379     403          0
f     379     404          1
f     380     403          0
f     380     404          0
f     380     402          1
f     381     402          0
f     381     403          1
f     381     404          0
f     382     402          0
f     382     403          0
f     382     404          1
f     383     402          0
f     383     403          0
f     383     404          1
f     384     404          0
f     384     402          1
f     384     403          0
f     385     403          0
f     385     404          0
f     385     402          1
f     386     403          0
f     386     404          0
f     386     402          1
f     387     402          0
f     387     403          1
f     387     404          0
f     388     403          0
f     388     404          0
f     388     402          1
f     389     404          0
f     389     403          0
f     389     402          1
f     390     402          0
f     390     403          1
f     390     404          0
f     391     402          0
f     391     403          1
f     391     404          0
f     392     404          0
f     392     403          0
f     392     402          1
f     393     403          0
f     393     404          0
f     393     402          1
f     394     403          0
f     394     404          0
f     394     402          1
f     395     403          0
f     395     404          0
f     395     402          1
f     396     402          0
f     396     403          1
f     396     404          0
f     397     402          0
f     397     404          0
f     397     403          1
f     398     402          0
f     398     403          1
f     398     404          0
f     399     402          0
f     399     403          1
f     399     404          0
f     400     402          0
f     400     404          0
f     400     403          1
f     401     402          0
f     401     403          1
f     401     404          0
f     402     405        133
f     403     405        134
f     404     405        133
c
